cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105618849769.07033,105618849769.07033,105618849769.07033
39,vopt,,,2040,65881344909.438614,54045649289.94667,40445430800.99439
39,vopt,,,2050,58294485866.04271,39230517866.119576,21970578632.40027
39,vopt,,,2060,54790760042.93106,30248383604.78597,12677346268.64871
39,vopt,,,2070,56317728805.00476,25505759580.788136,7999690213.708901
39,vopt,,,2080,51485662333.68538,19128359086.738003,4489741641.138873
39,vopt,,,2090,49919697003.104774,15214638393.556313,2672477124.327508
39,vopt,,,2100,47500137667.44885,11876346091.449018,1561147483.8543346
39,vopt,,AL0 0,2030,711361190.958607,711361190.958607,711361190.958607
39,vopt,,AL0 0,2040,1145626462.4374764,939812720.7525721,703315268.8973814
39,vopt,,AL0 0,2050,1671630175.4469385,1124959187.6341822,630019832.3790996
39,vopt,,AL0 0,2060,1663484466.8995261,918361348.4454957,384892791.8298622
39,vopt,,AL0 0,2070,1987554516.3785021,900144390.1259509,282323537.3879827
39,vopt,,AL0 0,2080,1945272666.047621,722723033.7761407,169635026.4568514
39,vopt,,AL0 0,2090,1926333015.4363756,587112142.399633,103127246.89154975
39,vopt,,AL0 0,2100,2098619706.3410492,524712878.12543356,68973586.92007793
39,vopt,,AT0 0,2030,8366263408.404975,8366263408.404975,8366263408.404975
39,vopt,,AT0 0,2040,10363585593.029438,8501749821.852351,6362342549.76484
39,vopt,,AT0 0,2050,10539028456.658318,7092464030.141101,3972048985.0137887
39,vopt,,AT0 0,2060,10260095864.748085,5664300245.07059,2373954804.1499295
39,vopt,,AT0 0,2070,10691731941.623957,4842182918.091324,1518714358.6196473
39,vopt,,AT0 0,2080,10612517242.610586,3942846055.1829724,925451056.1142936
39,vopt,,AT0 0,2090,10424783503.902624,3177289143.664566,558096244.8252393
39,vopt,,AT0 0,2100,10018974643.262398,2505020326.0016546,329285299.43710214
39,vopt,,BA0 0,2030,1149509095.3694065,1149509095.3694065,1149509095.3694065
39,vopt,,BA0 0,2040,1386823887.905766,1137678618.6697478,851389565.1122738
39,vopt,,BA0 0,2050,1246362055.3893507,838765933.9506699,469740750.52822226
39,vopt,,BA0 0,2060,1231469755.8467357,679858602.8621821,284934330.2046699
