cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
carrier,,,,,,,,
coal,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
gas,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
lignite,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
offwind-ac,2.2,2.515,1.399,4.605,1.667,1.376,0.459,1.632
offwind-dc,0.909,0.899,0.644,1.467,0.16,0.526,0.486,0.341
offwind-float,1.395,0.673,0.615,0.814,0.215,0.255,1.374,0.0
oil primary,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
onwind,5.174,5.477,3.477,1.166,4.062,5.266,4.507,3.441
ror,0.032,0.079,0.033,0.099,0.014,0.153,0.018,0.021
rural solar thermal,36.428,37.73,36.981,39.943,37.085,34.695,40.866,33.423
solar,2.531,1.754,1.813,2.67,6.314,5.698,5.729,5.989
solar rooftop,0.187,0.399,0.129,0.115,0.224,0.085,0.159,0.163
solar-hsat,1.395,21.208,27.596,31.139,23.763,26.969,28.43,26.007
urban central solar thermal,22.975,50.392,36.194,43.645,40.177,39.027,35.202,37.854
urban decentral solar thermal,35.581,41.545,41.019,41.964,39.462,33.769,40.208,33.855
