cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105597177280.91087,105597177280.91087,105597177280.91087
39,vopt,,,2040,66368230528.56552,54445065079.83109,40744336335.5348
39,vopt,,,2050,58674562797.864204,39486298745.61111,22113825630.686428
39,vopt,,,2060,52860430703.893234,29182704970.559353,12230711591.116589
39,vopt,,,2070,53076573127.04291,24037871240.116005,7539298043.991391
39,vopt,,,2080,45143757595.33232,16772164650.64675,3936703911.850687
39,vopt,,,2090,43974487377.72149,13402643929.357718,2354197213.2499156
39,vopt,,,2100,43765694040.404205,10942632061.306704,1438410633.8524907
39,vopt,,AL0 0,2030,711083732.1677048,711083732.1677048,711083732.1677048
39,vopt,,AL0 0,2040,1134341271.3033535,930554933.3919282,696387140.4914027
39,vopt,,AL0 0,2050,1532275910.434428,1031177762.1344194,577498675.5023874
39,vopt,,AL0 0,2060,1523921869.9316382,841312901.4690888,352601154.2156465
39,vopt,,AL0 0,2070,1292085021.267592,585172921.7365043,183535098.43592387
39,vopt,,AL0 0,2080,1068135668.1633754,396842182.61700577,93145411.17598017
39,vopt,,AL0 0,2090,1059998330.8470374,323068693.7183911,56747565.812305726
39,vopt,,AL0 0,2100,1110742200.7625215,277716222.3610445,36505839.28979944
39,vopt,,AT0 0,2030,8362799238.282369,8362799238.282369,8362799238.282369
39,vopt,,AT0 0,2040,10327562032.73989,8472197955.413369,6340227208.663362
39,vopt,,AT0 0,2050,10396415855.022116,6996489837.499978,3918299795.331948
39,vopt,,AT0 0,2060,9941527794.747065,5488428087.464512,2300245336.8898726
39,vopt,,AT0 0,2070,9532586178.966599,4317216912.381226,1354062707.8775072
39,vopt,,AT0 0,2080,9607747682.454168,3569546148.4724197,837831405.7202545
39,vopt,,AT0 0,2090,9653743070.148304,2942289692.73334,516818191.3744778
39,vopt,,AT0 0,2100,10866686462.417072,2716971689.607744,357146338.1307607
39,vopt,,BA0 0,2030,1148939131.2385287,1148939131.2385287,1148939131.2385287
39,vopt,,BA0 0,2040,1385469268.6454244,1136567359.0625484,850557946.3948486
39,vopt,,BA0 0,2050,1246368800.9607294,838770473.5268332,469743292.86313087
39,vopt,,BA0 0,2060,1218365043.286877,672623872.5494347,281902195.2472014
39,vopt,,BA0 0,2070,987329391.5864199,447152018.08016026,140245877.08301103
39,vopt,,BA0 0,2080,971261470.4350556,360850717.1022546,84697620.08661138
39,vopt,,BA0 0,2090,1069804444.2606688,326057423.18975234,57272541.229822
39,vopt,,BA0 0,2100,1123026467.8103197,280787628.3422405,36909576.0689837
39,vopt,,BE0 0,2030,7403925086.830587,7403925086.830587,7403925086.830587
39,vopt,,BE0 0,2040,9401668911.431667,7712643107.482069,5771809150.130022
39,vopt,,BE0 0,2050,9075195491.203854,6107346407.931689,3420345735.6512055
