cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105598766948.01585,105598766948.01585,105598766948.01585
39,vopt,,,2040,66366408035.21695,54443570000.51106,40743217482.713615
39,vopt,,,2050,65974067439.78252,44398656115.51132,24864932160.408085
39,vopt,,,2060,71981994558.16356,39739163726.272514,16655010250.027729
39,vopt,,,2070,93444497794.14705,42320117402.76713,13273387446.376408
39,vopt,,,2080,91055165679.19478,33829532861.51083,7940349807.31337
39,vopt,,,2090,103034177692.29121,31402990199.80306,5515988666.546153
39,vopt,,,2100,136958826222.34064,34243488553.293297,4501311731.885211
39,vopt,,AL0 0,2030,710919935.5244758,710919935.5244758,710919935.5244758
39,vopt,,AL0 0,2040,1134111489.3102942,930366432.12458,696246074.2804385
39,vopt,,AL0 0,2050,1200460961.5370219,807875813.62975,452441111.002913
39,vopt,,AL0 0,2060,1191882658.154265,658003718.6469651,275774768.5408958
39,vopt,,AL0 0,2070,1015400363.4839119,459865092.19746846,144233237.43902218
39,vopt,,AL0 0,2080,947519511.4766915,352029917.37290835,82627232.77981673
39,vopt,,AL0 0,2090,922304737.4670871,281102128.2511563,49376067.17417329
39,vopt,,AL0 0,2100,952569453.4964381,238168667.74301612,31307307.274217684
39,vopt,,AT0 0,2030,8368395675.438586,8368395675.438586,8368395675.438586
39,vopt,,AT0 0,2040,10327336234.462784,8472012722.180632,6340088588.108419
39,vopt,,AT0 0,2050,9912642450.296333,6670924204.399445,3735970686.9971366
39,vopt,,AT0 0,2060,9459136560.304615,5222113929.829752,2188630883.810629
39,vopt,,AT0 0,2070,8358692116.484037,3785571543.040015,1187316124.823927
39,vopt,,AT0 0,2080,7952309531.321806,2954504718.1900406,693471029.1692456
39,vopt,,AT0 0,2090,7713692890.465788,2350996801.925377,412956588.91069424
39,vopt,,AT0 0,2100,7624846001.575093,1906422053.8199253,250599466.3315058
39,vopt,,BA0 0,2030,1148932392.1282625,1148932392.1282625,1148932392.1282625
39,vopt,,BA0 0,2040,1385500855.0365002,1136593270.9047668,850577337.6989615
39,vopt,,BA0 0,2050,1247594461.6917913,839595308.0629541,470205231.5022385
39,vopt,,BA0 0,2060,1218745680.8995945,672834011.4946668,281990266.20689446
39,vopt,,BA0 0,2070,987172805.1011405,447081101.5618296,140223634.64887053
39,vopt,,BA0 0,2080,970947164.5629777,360733943.70726144,84670211.44315687
39,vopt,,BA0 0,2090,965191549.4207673,294173267.99960285,51672035.11393096
39,vopt,,BA0 0,2100,954472600.6581761,238644507.08718812,31369856.42773283
39,vopt,,BE0 0,2030,7405148413.796602,7405148413.796602,7405148413.796602
39,vopt,,BE0 0,2040,9401081379.071777,7712161126.309511,5771448456.227402
39,vopt,,BE0 0,2050,9041718732.032286,6084817508.683862,3407728697.198769
39,vopt,,BE0 0,2060,8181460875.090681,4516746378.465678,1893005543.5562038
39,vopt,,BE0 0,2070,7849108068.906029,3554785812.160638,1114931911.0963717
39,vopt,,BE0 0,2080,7577355963.965716,2815199013.4142833,660773680.6542052
39,vopt,,BE0 0,2090,6469629610.237999,1971828375.7590463,346355009.62991804
39,vopt,,BE0 0,2100,6030838667.969908,1507876203.3059773,198210554.20823818
39,vopt,,BG0 0,2030,2925216126.0449495,2925216126.0449495,2925216126.0449495
39,vopt,,BG0 0,2040,3477482688.0997944,2852747011.027951,2134872711.1830096
39,vopt,,BG0 0,2050,3377965220.344628,2273273757.527977,1273119565.0586677
39,vopt,,BG0 0,2060,2503711088.708257,1382226006.49203,579302283.8766967
39,vopt,,BG0 0,2070,1923869292.1485052,871301962.4832628,273277326.2597866
39,vopt,,BG0 0,2080,1901626071.4460578,706507106.9217678,165828880.7379425
39,vopt,,BG0 0,2090,1874901655.1353047,571436775.8399997,100373842.08083728
39,vopt,,BG0 0,2100,1856339947.113151,464136247.9756794,61010779.75611753
39,vopt,,CH0 0,2030,8715379551.800177,8715379551.800177,8715379551.800177
39,vopt,,CH0 0,2040,10661663442.320612,8746277478.748808,6545336492.031617
39,vopt,,CH0 0,2050,10391036531.59855,6992869707.044402,3916272384.9086337
39,vopt,,CH0 0,2060,10056984169.955196,5552168191.164063,2326959338.4165835
39,vopt,,CH0 0,2070,9433312013.905369,4272256594.5494776,1339961241.3665943
39,vopt,,CH0 0,2080,9009645883.597887,3347334653.8470197,785674699.7511017
39,vopt,,CH0 0,2090,8789613873.657627,2678918437.7134566,470556582.2557123
39,vopt,,CH0 0,2100,9389209569.56896,2347561667.1688485,308587334.9996308
39,vopt,,CZ0 0,2030,3290224060.378135,3290224060.378135,3290224060.378135
39,vopt,,CZ0 0,2040,6682178102.537772,5481713445.879851,4102277699.6677804
39,vopt,,CZ0 0,2050,6170034529.057568,4152256362.3426166,2325421122.965063
39,vopt,,CZ0 0,2060,6104832300.20368,3370300195.0467243,1412520522.0929997
39,vopt,,CZ0 0,2070,4118474804.7601705,1865217764.2577677,585011563.6786612
39,vopt,,CZ0 0,2080,3977314535.262877,1477683245.838997,346836650.81634426
39,vopt,,CZ0 0,2090,3887088279.2621512,1184715575.6800046,208097306.87915796
39,vopt,,CZ0 0,2100,3759743901.78345,940039797.4718826,123568373.07080488
39,vopt,,DE0 0,2030,48646090766.68794,48646090766.68794,48646090766.68794
39,vopt,,DE0 0,2040,61282581099.95523,50273061217.309586,37622188748.44895
39,vopt,,DE0 0,2050,54861741059.73475,36920379017.59875,20676813217.515884
39,vopt,,DE0 0,2060,48016606827.173454,26508570816.87654,11109959980.782839
39,vopt,,DE0 0,2070,40275903090.031494,18240570472.404694,5721018134.683385
39,vopt,,DE0 0,2080,38342850261.0459,14245437952.197596,3343639445.507114
39,vopt,,DE0 0,2090,36568546817.65081,11145444580.198221,1957716306.5311277
39,vopt,,DE0 0,2100,35959035821.356064,8990751932.5338,1181835696.7164752
39,vopt,,DK0 0,2030,7128918103.701695,7128918103.701695,7128918103.701695
39,vopt,,DK0 0,2040,27722057713.541206,22741742914.34446,17018938645.76478
39,vopt,,DK0 0,2050,28246499130.515224,19009084175.498417,10645808450.27254
39,vopt,,DK0 0,2060,27662423367.79316,15271618659.99625,6400460942.478165
39,vopt,,DK0 0,2070,26324658761.830116,11922185636.254904,3739304115.146141
39,vopt,,DK0 0,2080,26249671153.294247,9752484730.112606,2289069156.366643
39,vopt,,DK0 0,2090,25920650720.672787,7900154674.740576,1387675612.1811585
39,vopt,,DK0 0,2100,15258191698.837845,3814969266.273397,501478285.0857186
39,vopt,,DK1 0,2030,2291310073.8064795,2291310073.8064795,2291310073.8064795
39,vopt,,DK1 0,2040,5386044099.156393,4418432119.795559,3306563856.6271086
39,vopt,,DK1 0,2050,5480104488.811006,3687953223.406592,2065393746.877988
39,vopt,,DK1 0,2060,5304283084.030125,2928340277.6016183,1227291486.9313154
39,vopt,,DK1 0,2070,5278189146.4583435,2390441273.965726,749743978.6185955
39,vopt,,DK1 0,2080,4990863838.647552,1854245071.956762,435221927.5417478
39,vopt,,DK1 0,2090,4679734015.251685,1426299939.5940123,250532011.50078297
39,vopt,,DK1 0,2100,3846465339.459873,961722551.6273305,126418574.37280144
39,vopt,,EE0 0,2030,1041634151.0898316,1041634151.0898316,1041634151.0898316
39,vopt,,EE0 0,2040,1387789647.8556633,1138470878.2027335,851982457.9452547
39,vopt,,EE0 0,2050,1505944494.6412234,1013457474.145444,567574641.8207726
39,vopt,,EE0 0,2060,1450983618.8615582,801045816.3601897,335724887.77363104
39,vopt,,EE0 0,2070,1491364459.532505,675424669.2701814,211841882.2126795
39,vopt,,EE0 0,2080,1291306267.5937867,479756282.77639097,112606719.19697225
39,vopt,,EE0 0,2090,1600767319.2763486,487885491.64265513,85697916.83373073
39,vopt,,EE0 0,2100,2230403099.570381,557662365.5154377,73304802.0040027
39,vopt,,ES0 0,2030,20114403727.466087,20114403727.466087,20114403727.466087
39,vopt,,ES0 0,2040,56128133480.426346,46044618875.83353,34457805040.13855
39,vopt,,ES0 0,2050,70450942140.54659,47411464451.04226,26552219151.266273
39,vopt,,ES0 0,2060,79586842862.73553,43937579090.33494,18414600648.15442
39,vopt,,ES0 0,2070,83906566497.37798,38000479737.76513,11918565487.593672
39,vopt,,ES0 0,2080,93193270394.67978,34623898378.22064,8126800507.160883
39,vopt,,ES0 0,2090,89908468074.73576,27402506673.680897,4813296927.625927
39,vopt,,ES0 0,2100,91692637729.03566,22925691443.924824,3013585595.916003
39,vopt,,ES2 0,2030,4248120962.6673756,4248120962.6673756,4248120962.6673756
39,vopt,,ES2 0,2040,3321500608.36386,2724787377.105586,2039113245.1182683
39,vopt,,ES2 0,2050,3197539801.915303,2151852623.1610155,1205119122.409695
39,vopt,,ES2 0,2060,2793898269.675047,1542429901.45894,646445053.4414283
39,vopt,,ES2 0,2070,2442635122.078765,1106246034.5842917,346965772.52630013
39,vopt,,ES2 0,2080,1978006762.1634483,734884663.1793944,172489561.63722366
39,vopt,,ES2 0,2090,1676674306.3825448,511020595.21296096,89761637.14447932
39,vopt,,ES2 0,2100,1553847625.547403,388504814.5244328,51069016.42895059
39,vopt,,EU oil,2030,234309325254.52374,234309325254.52374,234309325254.52374
39,vopt,,EU oil,2040,80706564280.87607,66207492796.581604,49546829459.76904
39,vopt,,EU oil,2050,11829702493.716944,7961050657.468403,4458490455.398422
39,vopt,,EU oil,2060,7753255924.12416,4280346890.519991,1793928574.4997635
39,vopt,,EU oil,2070,6787224539.282816,3073868939.551217,964095940.6076152
39,vopt,,EU oil,2080,228524350.86369264,84903168.09082639,19928175.09925793
39,vopt,,EU oil,2090,241146011.70343626,73497027.9945387,12909878.035921667
39,vopt,,EU oil,2100,340716896.8556552,85188632.81180102,11198058.623677896
39,vopt,,FI1 0,2030,5536965965.460174,5536965965.460174,5536965965.460174
39,vopt,,FI1 0,2040,16468589258.807852,13509979199.805264,10110285213.101128
39,vopt,,FI1 0,2050,15677696995.115128,10550640646.866814,5908759113.128532
39,vopt,,FI1 0,2060,14655791040.42325,8091035588.390287,3391019538.966512
39,vopt,,FI1 0,2070,12002703685.300488,5435909455.381101,1704932234.4265647
39,vopt,,FI1 0,2080,11811176464.009653,4388181377.10132,1029978607.590104
39,vopt,,FI1 0,2090,10890393844.45623,3319198918.5452733,583022938.2685602
39,vopt,,FI1 0,2100,6519760171.02562,1630120080.2078388,214279530.25292805
39,vopt,,FR0 0,2030,45657536027.39417,45657536027.39417,45657536027.39417
39,vopt,,FR0 0,2040,70195885637.51334,57585075440.96489,43094184536.900856
39,vopt,,FR0 0,2050,72520197069.44603,48804013699.08414,27332099571.351593
39,vopt,,FR0 0,2060,65052502740.287445,35913593018.19862,15051682112.72591
39,vopt,,FR0 0,2070,53778628174.29165,24355825241.947376,7639021932.190192
39,vopt,,FR0 0,2080,53302089015.267265,19803212244.785027,4648140817.544887
39,vopt,,FR0 0,2090,49982670579.88066,15233831623.013102,2675848447.7423954
39,vopt,,FR0 0,2100,35548884414.48795,8888202754.84587,1168355591.852058
39,vopt,,FR6 0,2030,2174488184.7111874,2174488184.7111874,2174488184.7111874
39,vopt,,FR6 0,2040,2069807774.2565403,1697963288.6797318,1270682424.8977897
39,vopt,,FR6 0,2050,1480011764.904174,996005490.4431709,557800868.7206908
39,vopt,,FR6 0,2060,1156695477.125283,638577900.335598,267633248.36901817
39,vopt,,FR6 0,2070,1000696143.0307493,453205691.69146043,142144566.412059
39,vopt,,FR6 0,2080,995261235.4448743,369767298.96789736,86790489.04192889
39,vopt,,FR6 0,2090,991769654.1585855,302273802.9997816,53094907.87125924
39,vopt,,FR6 0,2100,951904234.0170522,238002344.5037179,31285444.059341867
39,vopt,,GB3 0,2030,38320120907.36744,38320120907.36744,38320120907.36744
39,vopt,,GB3 0,2040,134714990297.28479,110513213258.07559,82703317994.1179
39,vopt,,GB3 0,2050,133532284965.55634,89863399826.23546,50326913827.518654
39,vopt,,GB3 0,2060,130536861703.28326,72065601285.17937,30203286016.448242
39,vopt,,GB3 0,2070,113960062948.69176,51611420223.368645,16187534896.529512
39,vopt,,GB3 0,2080,106851663538.63493,39698372256.25171,9317863293.767782
39,vopt,,GB3 0,2090,104267966181.22275,31779027051.79072,5582040179.493499
39,vopt,,GB3 0,2100,92828102521.20511,23209588996.83025,3050903972.0375795
39,vopt,,GB4 0,2030,5711690715.809942,5711690715.809942,5711690715.809942
39,vopt,,GB4 0,2040,14405385475.789463,11817433484.110138,8843657065.950706
39,vopt,,GB4 0,2050,13270829339.566532,8930887712.09761,5001636007.085072
39,vopt,,GB4 0,2060,11481160840.507315,6338414671.740222,2656481702.884127
39,vopt,,GB4 0,2070,10071156590.476913,4561130289.656615,1430564309.447231
39,vopt,,GB4 0,2080,10093472072.284426,3750006302.323466,880188382.7948383
39,vopt,,GB4 0,2090,10148559891.974573,3093101085.171624,543308469.0895228
