cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105603539759.36487,105603539759.36487,105603539759.36487
39,vopt,,,2040,66235629669.125374,54336286190.22739,40662930910.49359
39,vopt,,,2050,58544517493.49708,39398781983.766716,22064812923.17344
39,vopt,,,2060,52439590488.70227,28950371338.840378,12133338655.833921
39,vopt,,,2070,47192189560.69668,21372890323.64428,6703446765.3932
39,vopt,,,2080,42607024969.56136,15829697750.6717,3715491372.5510263
39,vopt,,,2090,42532309175.62734,12963093588.285597,2276989447.8650284
39,vopt,,,2100,43066992713.536026,10767937435.566122,1415446998.9669976
39,vopt,,AL0 0,2030,711328728.5811254,711328728.5811254,711328728.5811254
39,vopt,,AL0 0,2040,1128499951.7562158,925763016.8324063,692801077.0032482
39,vopt,,AL0 0,2050,1550284180.201721,1043296811.4466841,584285802.98242
39,vopt,,AL0 0,2060,1541815471.0342374,851191437.7368525,356741329.98603153
39,vopt,,AL0 0,2070,1502278053.3219676,680367331.292654,213392111.08885178
39,vopt,,AL0 0,2080,1170312529.1481273,434803735.38105166,102055614.26418935
39,vopt,,AL0 0,2090,1034045290.8500005,315158667.3665913,55358156.22325064
39,vopt,,AL0 0,2100,1033108208.4722413,258305580.49395597,33954307.490585454
39,vopt,,AT0 0,2030,8373630600.091283,8373630600.091283,8373630600.091283
39,vopt,,AT0 0,2040,10346307481.307755,8487575752.276415,6351735287.98274
39,vopt,,AT0 0,2050,10432887677.469307,7021034328.473145,3932045641.6335053
39,vopt,,AT0 0,2060,9971731109.926521,5505102458.525775,2307233702.897044
39,vopt,,AT0 0,2070,10612350435.423319,4806231794.790088,1507438558.409354
39,vopt,,AT0 0,2080,10528077675.120285,3911474401.5055842,918087611.1252035
39,vopt,,AT0 0,2090,10674075542.847507,3253268936.3043904,571442224.6959851
39,vopt,,AT0 0,2100,13333723891.883541,3333799172.04641,438228403.67233825
39,vopt,,BA0 0,2030,1149166464.563165,1149166464.563165,1149166464.563165
39,vopt,,BA0 0,2040,1385653252.9362223,1136718290.2627082,850670896.7894127
39,vopt,,BA0 0,2050,1246630253.5519433,838946423.6256869,469841831.5950293
39,vopt,,BA0 0,2060,1219090505.5882688,673024379.1670854,282070050.86359346
39,vopt,,BA0 0,2070,1255947558.4627626,568806611.2030841,178401927.87521097
