cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105604066904.65039,105604066904.65039,105604066904.65039
39,vopt,,,2040,66235930750.12277,54336533181.51173,40663115748.108284
39,vopt,,,2050,44930908225.293625,30237213206.131634,16933986766.045155
39,vopt,,,2060,41555790782.823265,22941742359.736458,9615072848.20626
39,vopt,,,2070,41683792706.89559,18878190185.52126,5921002775.914322
39,vopt,,,2080,41914229799.5309,15572305028.402493,3655077051.6959057
39,vopt,,,2090,42040260620.30335,12813125914.38604,2250647370.7470527
39,vopt,,,2100,42752663527.82553,10689346459.21408,1405116203.2794266
39,vopt,,AL0 0,2030,711366928.5205812,711366928.5205812,711366928.5205812
39,vopt,,AL0 0,2040,1128491849.4532528,925756370.1219455,692796102.892075
39,vopt,,AL0 0,2050,1079343485.9622505,726367224.6295136,406793208.26665413
39,vopt,,AL0 0,2060,1080696756.340726,596621218.9907315,250048858.25277844
39,vopt,,AL0 0,2070,961204666.9011853,435320380.67086434,136534972.74018997
39,vopt,,AL0 0,2080,849076566.4605092,315455618.50070524,74042641.0802685
39,vopt,,AL0 0,2090,828444650.134481,252495238.10387832,44351218.23993054
39,vopt,,AL0 0,2100,898438324.1457094,224634390.62173516,29528224.506590363
39,vopt,,AT0 0,2030,8369754725.992639,8369754725.992639,8369754725.992639
39,vopt,,AT0 0,2040,10346704979.559246,8487901839.291229,6351979317.42759
39,vopt,,AT0 0,2050,12011547706.619022,8083427272.814433,4527026003.652018
39,vopt,,AT0 0,2060,11435573143.263601,6313247031.196339,2645933737.805781
39,vopt,,AT0 0,2070,12405768435.838612,5618453617.5988455,1762185841.927944
39,vopt,,AT0 0,2080,13168896080.329865,4892612070.674999,1148376818.316737
39,vopt,,AT0 0,2090,12667869811.837591,3860942072.4602923,678181045.1291276
39,vopt,,AT0 0,2100,12737660516.268335,3184766868.375957,418638084.8910711
39,vopt,,BA0 0,2030,1149301647.6800025,1149301647.6800025,1149301647.6800025
39,vopt,,BA0 0,2040,1385667201.866108,1136729733.2436252,850679460.2223423
39,vopt,,BA0 0,2050,1325500359.616927,892023744.0466129,499567145.08399963
39,vopt,,BA0 0,2060,1304306833.5301392,720069833.0895575,301787187.40660435
39,vopt,,BA0 0,2070,1596918055.2363954,723228881.0528108,226835314.73368627
39,vopt,,BA0 0,2080,1736256340.0386133,645067640.8440555,151408023.83079183
39,vopt,,BA0 0,2090,1645116361.2870748,501402293.18197274,88072166.02543023
39,vopt,,BA0 0,2100,1642165608.9134502,410586749.18949383,53971690.06910467
39,vopt,,BE0 0,2030,7396671547.871216,7396671547.871216,7396671547.871216
39,vopt,,BE0 0,2040,9435313733.210518,7740243579.827951,5792464152.133076
39,vopt,,BE0 0,2050,11004728606.477478,7405866880.793524,4147566473.6530113
39,vopt,,BE0 0,2060,11652752849.6816,6433145624.78692,2696184224.1766057
39,vopt,,BE0 0,2070,12863898073.468027,5825936139.393493,1827261178.8869932
39,vopt,,BE0 0,2080,12017248684.829044,4464742952.867548,1047948873.2710303
39,vopt,,BE0 0,2090,11383212436.758898,3469401286.0604486,609406239.7194934
39,vopt,,BE0 0,2100,10764186795.431225,2691343942.422994,353777566.9004297
39,vopt,,BG0 0,2030,2925033707.9210086,2925033707.9210086,2925033707.9210086
39,vopt,,BG0 0,2040,3478807811.3788414,2853834073.657042,2135686221.926592
39,vopt,,BG0 0,2050,3981224473.7899313,2679249941.5288343,1500481633.1280203
39,vopt,,BG0 0,2060,3669004110.8657775,2025550361.15662,848924810.2799778
39,vopt,,BG0 0,2070,3709751647.2425613,1680110963.753797,526954203.89714855
39,vopt,,BG0 0,2080,3895904415.672285,1447437116.5238016,339737384.9747774
39,vopt,,BG0 0,2090,3515784575.0714073,1071548791.1721015,188219368.60629314
39,vopt,,BG0 0,2100,3528727260.391874,882279257.8023165,115975741.42493731
39,vopt,,CH0 0,2030,8721794086.821228,8721794086.821228,8721794086.821228
39,vopt,,CH0 0,2040,10689303207.750256,8768951713.327965,6562304910.353633
39,vopt,,CH0 0,2050,10066001541.792212,6774130476.647666,3793770115.684891
39,vopt,,CH0 0,2060,9530678385.378073,5261610088.797301,2205184048.768309
39,vopt,,CH0 0,2070,9373679610.502045,4245249650.6136527,1331490715.9379637
39,vopt,,CH0 0,2080,8827867944.667868,3279799081.1789455,769822985.9950463
39,vopt,,CH0 0,2090,8811675145.8778,2685642322.261691,471737644.0185332
39,vopt,,CH0 0,2100,8858448011.754354,2214856621.200896,291143236.7043809
39,vopt,,CZ0 0,2030,3284796348.5598187,3284796348.5598187,3284796348.5598187
39,vopt,,CZ0 0,2040,6695714808.990098,5492818260.003926,4110588063.168154
39,vopt,,CZ0 0,2050,10183777702.479052,6853390456.513437,3838158711.9809217
39,vopt,,CZ0 0,2060,9941606841.852734,5488471727.07041,2300263626.6075063
39,vopt,,CZ0 0,2070,9565850076.50848,4332281812.749647,1358787700.8998103
39,vopt,,CZ0 0,2080,9685752177.800972,3598526993.425,844633688.4350955
39,vopt,,CZ0 0,2090,8705091286.4877,2653157452.0288215,466031621.28316146
39,vopt,,CZ0 0,2100,13457911813.339952,3364849581.7509017,442309984.7082525
39,vopt,,DE0 0,2030,48673801454.056595,48673801454.056595,48673801454.056595
39,vopt,,DE0 0,2040,61679684032.20258,50598823932.654144,37865975501.5755
39,vopt,,DE0 0,2050,75023110705.2556,50488402825.22923,28275421397.227646
