cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105594788762.62444,105594788762.62444,105594788762.62444
39,vopt,,,2040,66367451488.464714,54444425995.608864,40743858072.491875
39,vopt,,,2050,58060468498.22595,39073030886.12949,21882379947.66051
39,vopt,,,2060,53858690693.030464,29733815250.19542,12461686440.498386
39,vopt,,,2070,53213904452.647995,24100067281.187233,7558805365.838167
39,vopt,,,2080,44729227035.99568,16618154989.859503,3900555302.1325865
39,vopt,,,2090,43436291417.11094,13238611344.683718,2325384610.6203823
39,vopt,,,2100,42896470992.11742,10725302296.403885,1409842603.4976852
39,vopt,,AL0 0,2030,711026736.310971,711026736.310971,711026736.310971
39,vopt,,AL0 0,2040,1134186453.9332361,930427929.2255613,696292096.0560093
39,vopt,,AL0 0,2050,1267682383.598672,853113903.6479981,477776158.001716
39,vopt,,AL0 0,2060,1259429935.9785376,695294604.3635844,291403685.3475244
39,vopt,,AL0 0,2070,1064691529.5625153,482188588.86777157,151234834.75603372
39,vopt,,AL0 0,2080,1007476664.594918,374305671.48928505,87855719.99037977
39,vopt,,AL0 0,2090,970986833.7581952,295939567.89473885,51982288.696195014
39,vopt,,AL0 0,2100,976173012.9255512,244070209.39185923,32083065.813503306
39,vopt,,AT0 0,2030,8363210930.674445,8363210930.674445,8363210930.674445
39,vopt,,AT0 0,2040,10327576077.938368,8472209477.368063,6340235831.1968565
39,vopt,,AT0 0,2050,10033396695.021973,6752188349.450914,3781481691.846503
39,vopt,,AT0 0,2060,9820226910.643312,5421461400.543304,2272179047.8062468
39,vopt,,AT0 0,2070,10139839230.36188,4592235998.950136,1440320381.8918753
39,vopt,,AT0 0,2080,10092082219.147875,3749489933.1311755,880067182.4213868
39,vopt,,AT0 0,2090,10361867919.07359,3158113589.124775,554728026.0396
39,vopt,,AT0 0,2100,10844386516.016256,2711396087.214104,356413424.35570073
39,vopt,,BA0 0,2030,1148980154.4400475,1148980154.4400475,1148980154.4400475
39,vopt,,BA0 0,2040,1385456526.11685,1136556905.7508962,850550123.5876731
39,vopt,,BA0 0,2050,1246267288.5272963,838702158.5691787,469705033.8945891
39,vopt,,BA0 0,2060,1231038391.514925,679620459.1720451,284834522.2261344
39,vopt,,BA0 0,2070,1011665166.2736676,458173457.1821222,143702668.80276695
39,vopt,,BA0 0,2080,1024417201.2425493,380599553.19207364,89332997.9229654
39,vopt,,BA0 0,2090,1099885265.9723501,335225524.2079898,58882933.77488177
39,vopt,,BA0 0,2100,1225608777.632925,306436038.5182892,40281063.452635475
39,vopt,,BE0 0,2030,7403946220.701767,7403946220.701767,7403946220.701767
39,vopt,,BE0 0,2040,9401362453.762371,7712391705.454078,5771621011.705192
39,vopt,,BE0 0,2050,9047437274.947325,6088665924.132832,3409883955.880805
39,vopt,,BE0 0,2060,8295444601.997034,4579673475.908112,1919378807.476082
39,vopt,,BE0 0,2070,7926302811.431213,3589746571.152986,1125897090.9683557
39,vopt,,BE0 0,2080,7668881187.378523,2849203185.8300405,668755021.2477816
39,vopt,,BE0 0,2090,8600730826.606865,2621350234.53763,460444629.405016
39,vopt,,BE0 0,2100,9871832042.047884,2468230612.484315,324449286.0498981
39,vopt,,BG0 0,2030,2925061300.7781925,2925061300.7781925,2925061300.7781925
39,vopt,,BG0 0,2040,3477401432.069294,2852680352.781475,2134822827.0289555
39,vopt,,BG0 0,2050,3415028904.8222523,2298216554.6807804,1287088477.9348075
39,vopt,,BG0 0,2060,2567984939.314538,1417709728.3344014,594173803.4452658
39,vopt,,BG0 0,2070,1979983246.9486246,896715434.7703744,281248071.2559365
39,vopt,,BG0 0,2080,1956957260.5551367,727064186.4270303,170653966.64606777
39,vopt,,BG0 0,2090,1893066941.0170648,576973232.8419194,101346330.1745221
39,vopt,,BG0 0,2100,2068042732.158176,517067790.22342604,67968638.9630074
39,vopt,,CH0 0,2030,8715127227.839348,8715127227.839348,8715127227.839348
39,vopt,,CH0 0,2040,10661180365.313126,8745881187.347008,6545039924.65424
39,vopt,,CH0 0,2050,10444715715.311407,7028994258.867795,3936503504.699217
39,vopt,,CH0 0,2060,10353659018.649742,5715953738.620842,2395603207.9878902
39,vopt,,CH0 0,2070,9719336002.81542,4401794117.639888,1380589714.0255697
39,vopt,,CH0 0,2080,9249049922.430204,3436279929.3670316,806551624.1895204
39,vopt,,CH0 0,2090,9013269415.611355,2747084680.696245,482530098.8330111
39,vopt,,CH0 0,2100,9626106975.323206,2406792560.321225,316373244.8324417
39,vopt,,CZ0 0,2030,3290613198.409103,3290613198.409103,3290613198.409103
39,vopt,,CZ0 0,2040,6681637306.71083,5481269804.942639,4101945697.9421606
39,vopt,,CZ0 0,2050,9583066916.689348,6449129318.188152,3611757134.568407
39,vopt,,CZ0 0,2060,10041966138.651762,5543877173.271648,2323484504.649761
39,vopt,,CZ0 0,2070,9605390188.059675,4350189150.286539,1364404203.0233288
