cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105599830395.33157,105599830395.33157,105599830395.33157
39,vopt,,,2040,66235201460.50256,54335934910.01167,40662668027.54477
39,vopt,,,2050,46193715478.134636,31087046286.534573,17409925538.53668
39,vopt,,,2060,40301853139.06856,22249479890.02342,9324939955.42076
39,vopt,,,2070,40059254167.90763,18142452252.114586,5690244090.720681
39,vopt,,,2080,40146589556.783295,14915577392.652088,3500932234.5819516
39,vopt,,,2090,40288501906.87261,12279220923.417194,2156866050.5460534
39,vopt,,,2100,40711940488.64409,10179109346.644167,1338045457.923568
39,vopt,,AL0 0,2030,711645898.6662685,711645898.6662685,711645898.6662685
39,vopt,,AL0 0,2040,1128296443.8686905,925596069.4828637,692676140.8138963
39,vopt,,AL0 0,2050,1203504927.3154588,809924315.3376001,453588349.6910312
39,vopt,,AL0 0,2060,1263510661.5673509,697547454.1670836,292347873.2229287
39,vopt,,AL0 0,2070,1207935866.0209403,547062575.8793613,171582074.26392123
39,vopt,,AL0 0,2080,1031352976.2785711,383176387.0021159,89937823.3555485
39,vopt,,AL0 0,2090,943669916.525783,287613855.94796944,50519863.225018196
39,vopt,,AL0 0,2100,1104990766.839583,276278205.05951303,36316811.698759355
39,vopt,,AT0 0,2030,8369889175.234762,8369889175.234762,8369889175.234762
39,vopt,,AT0 0,2040,10346283244.781908,8487555869.883642,6351720408.858304
39,vopt,,AT0 0,2050,12143988252.98684,8172555963.861143,4576941452.684002
39,vopt,,AT0 0,2060,12134194898.210846,6698935764.51077,2807579057.040952
39,vopt,,AT0 0,2070,11654395757.147585,5278164133.187623,1655456597.1214898
39,vopt,,AT0 0,2080,10821565249.662647,4020513218.5058866,943680821.4453818
39,vopt,,AT0 0,2090,10163354433.0227,3097610198.923494,544100502.5931232
39,vopt,,AT0 0,2100,10941958553.189493,2735791790.8735313,359620243.27892095
39,vopt,,BA0 0,2030,1149307062.625066,1149307062.625066,1149307062.625066
39,vopt,,BA0 0,2040,1385636997.2394593,1136704954.9295053,850660917.2017243
39,vopt,,BA0 0,2050,1486143758.2614126,1000132146.1874015,560111952.5260811
39,vopt,,BA0 0,2060,1534784992.9763057,847310115.4654565,355114635.91015637
39,vopt,,BA0 0,2070,1741966035.1944146,788919720.9177779,247438754.0131001
39,vopt,,BA0 0,2080,1760827287.9774418,654196433.0936203,153550702.066302
39,vopt,,BA0 0,2090,1664565996.1415973,507330196.97473544,89113412.41404516
39,vopt,,BA0 0,2100,1657378715.4023747,414390445.90830046,54471686.576126754
39,vopt,,BE0 0,2030,7396603816.968579,7396603816.968579,7396603816.968579
39,vopt,,BE0 0,2040,9434924721.611954,7739924454.824438,5792225332.756936
39,vopt,,BE0 0,2050,11070940702.60493,7450425723.392294,4172521116.3224244
39,vopt,,BE0 0,2060,12392410931.113855,6841489319.3444,2867324423.9360876
39,vopt,,BE0 0,2070,14233755543.316284,6446331457.657667,2021843517.8457208
39,vopt,,BE0 0,2080,13065501715.429901,4854198181.259853,1139360444.3495178
39,vopt,,BE0 0,2090,12550508779.834755,3825172511.1324925,671898060.8134267
39,vopt,,BE0 0,2100,11484273559.562935,2871385518.019529,377444059.15043855
39,vopt,,BG0 0,2030,2925015949.783193,2925015949.783193,2925015949.783193
39,vopt,,BG0 0,2040,3478751748.61949,2853788082.6677217,2135651804.2555964
39,vopt,,BG0 0,2050,4013571943.5893173,2701018861.4024,1512673054.292961
39,vopt,,BG0 0,2060,3480379188.7114997,1921416032.6991413,805281257.0390112
39,vopt,,BG0 0,2070,3677646532.8543797,1665570865.168964,522393811.0185508
39,vopt,,BG0 0,2080,3689044253.113089,1370582798.4317446,321698407.8375031
39,vopt,,BG0 0,2090,3433389731.4231467,1046436303.980444,183808317.49757302
39,vopt,,BG0 0,2100,3466554404.057345,866734326.8698572,113932357.91076276
39,vopt,,CH0 0,2030,8721576437.025782,8721576437.025782,8721576437.025782
39,vopt,,CH0 0,2040,10689299653.383886,8768948797.509556,6562302728.281011
39,vopt,,CH0 0,2050,12509388904.66558,8418460127.539938,4714657115.336659
39,vopt,,CH0 0,2060,11975348161.158047,6611241105.174473,2770825504.294368
39,vopt,,CH0 0,2070,11810703037.47882,5348954202.273312,1677659371.404641
39,vopt,,CH0 0,2080,11538651977.618656,4286930931.844735,1006213456.6855752
39,vopt,,CH0 0,2090,11467982040.279303,3495237557.9482346,613944424.841741
39,vopt,,CH0 0,2100,12131007482.313278,3033086857.6964264,398699724.6243691
39,vopt,,CZ0 0,2030,3284655123.2569294,3284655123.2569294,3284655123.2569294
39,vopt,,CZ0 0,2040,6695843168.149992,5492923559.222519,4110666864.557626
39,vopt,,CZ0 0,2050,9588193279.006523,6452579213.070736,3613689206.6111465
39,vopt,,CZ0 0,2060,9712040907.67638,5361735057.710167,2247147246.4594827
39,vopt,,CZ0 0,2070,9428503090.27509,4270078679.1299663,1339278154.5284014
39,vopt,,CZ0 0,2080,9896742091.217463,3676915629.10678,863032795.2385933
39,vopt,,CZ0 0,2090,8999226061.459564,2742804515.389175,481778280.51333743
39,vopt,,CZ0 0,2100,9278956179.279316,2319995275.0458894,304963728.5999584
39,vopt,,DE0 0,2030,48673609448.6573,48673609448.6573,48673609448.6573
39,vopt,,DE0 0,2040,61683215984.554245,50601721363.76107,37868143813.93506
39,vopt,,DE0 0,2050,73230127309.51431,49281776399.15661,27599664812.406834
39,vopt,,DE0 0,2060,75057036903.81552,41436805087.68747,17366505702.473404
39,vopt,,DE0 0,2070,84694460309.63055,38357309293.518074,12030482401.735256
39,vopt,,DE0 0,2080,82438992875.21616,30628384427.608727,7188987426.568368
39,vopt,,DE0 0,2090,76574085340.43079,23338423282.086735,4099433764.108701
39,vopt,,DE0 0,2100,85003606786.38335,21253248996.546608,2793742784.119237
39,vopt,,DK0 0,2030,6956527968.81267,6956527968.81267,6956527968.81267
39,vopt,,DK0 0,2040,27625515736.146328,22662544867.321983,16959670246.319033
39,vopt,,DK0 0,2050,28727057271.69323,19332486028.40291,10826925759.591528
39,vopt,,DK0 0,2060,27927402189.041862,15417905753.40387,6461771066.086526
39,vopt,,DK0 0,2070,15881389292.621353,7192528990.453647,2255882777.946724
39,vopt,,DK0 0,2080,14723474800.884321,5470181410.322238,1283941876.6210403
39,vopt,,DK0 0,2090,14366476647.477892,4378647313.649612,769116851.7145063
39,vopt,,DK0 0,2100,13712298720.826197,3428453333.293509,450670707.4355844
39,vopt,,DK1 0,2030,2291013178.9277663,2291013178.9277663,2291013178.9277663
39,vopt,,DK1 0,2040,5529689234.538829,4536271162.391876,3394749509.0450425
39,vopt,,DK1 0,2050,5519187401.611763,3714254903.3358636,2080123685.6726363
39,vopt,,DK1 0,2060,5237872424.046387,2891676885.5066533,1211925557.8607266
39,vopt,,DK1 0,2070,3552103858.5735435,1608713791.290451,504561016.19252795
39,vopt,,DK1 0,2080,3211714094.477724,1193241335.5186207,280073439.00818163
39,vopt,,DK1 0,2090,3027597431.411069,922758007.0711241,162084014.18413195
39,vopt,,DK1 0,2100,2722152181.455028,680613215.2056389,89466709.72828251
39,vopt,,EE0 0,2030,1052445683.9399921,1052445683.9399921,1052445683.9399921
39,vopt,,EE0 0,2040,1394315380.386646,1143824251.7899654,855988691.635087
39,vopt,,EE0 0,2050,1431135674.6876957,963113282.8530778,539379984.3541481
39,vopt,,EE0 0,2060,1272956343.6957548,702762140.2967333,294533391.05461305
39,vopt,,EE0 0,2070,1838870687.152294,832806908.9763627,261203641.418528
39,vopt,,EE0 0,2080,1814366392.797338,674087703.3183297,158219511.54536188
39,vopt,,EE0 0,2090,1767356251.921731,538658844.101312,94616342.59327072
39,vopt,,EE0 0,2100,1083342452.564562,270865528.6915708,35605314.5743353
39,vopt,,ES0 0,2030,20082042598.579304,20082042598.579304,20082042598.579304
39,vopt,,ES0 0,2040,55748944630.89409,45733551947.788124,34225015979.815826
39,vopt,,ES0 0,2050,53882731886.3124,36261533909.03569,20307834956.41681
39,vopt,,ES0 0,2060,54090042844.068855,29861538037.8866,12515216110.946693
39,vopt,,ES0 0,2070,46484364220.72688,21052323011.54673,6602903232.027764
39,vopt,,ES0 0,2080,42631196227.80817,15838678047.056479,3717599196.3557596
39,vopt,,ES0 0,2090,42543696794.19917,12966564332.48349,2277599089.9894967
39,vopt,,ES0 0,2100,43071555891.75157,10769078356.128166,1415596973.1468506
39,vopt,,ES2 0,2030,4240234268.453386,4240234268.453386,4240234268.453386
39,vopt,,ES2 0,2040,3322970899.394997,2725993527.853301,2040015876.2688453
39,vopt,,ES2 0,2050,2635614214.966407,1773692811.8044891,993335278.531418
39,vopt,,ES2 0,2060,1791047744.048788,988785320.2624797,414408057.4388385
39,vopt,,ES2 0,2070,1074105401.1827757,486452041.09437186,152572034.57342082
39,vopt,,ES2 0,2080,1079478193.5684674,401056247.0587309,94134521.6645831
39,vopt,,ES2 0,2090,1036929534.650975,316037733.72927284,55512565.72574839
39,vopt,,ES2 0,2100,968876695.4111828,242245928.53186664,31843263.819481626
39,vopt,,EU oil,2030,234307994076.14908,234307994076.14908,234307994076.14908
39,vopt,,EU oil,2040,80666850055.36942,66174913299.20637,49522448370.3764
39,vopt,,EU oil,2050,7367505958.712217,4958120306.716118,2776735510.842797
39,vopt,,EU oil,2060,4276518239.648896,2360941226.3017726,989489879.4202021
39,vopt,,EU oil,2070,4700723668.663355,2128912693.9720128,667717500.8203505
39,vopt,,EU oil,2080,4538566410.166218,1686203966.2616215,395779906.0781518
39,vopt,,EU oil,2090,4327212528.123106,1318857641.771442,231659589.0554615
39,vopt,,EU oil,2100,3628872052.8846784,907318221.3360146,119267116.95558959
39,vopt,,FI1 0,2030,5550855476.990904,5550855476.990904,5550855476.990904
39,vopt,,FI1 0,2040,16463920292.22749,13506149021.008888,10107418872.637104
39,vopt,,FI1 0,2050,15669246360.590078,10544953612.084883,5905574157.852438
39,vopt,,FI1 0,2060,15222713647.656578,8404017056.1484,3522192645.4134865
39,vopt,,FI1 0,2070,12297353888.343285,5569353708.171567,1746786023.5576942
39,vopt,,FI1 0,2080,12369475994.06844,4595605219.0965395,1078664407.3781588
39,vopt,,FI1 0,2090,12336465636.213943,3759935956.6997175,660439149.0153406
