cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.32111708499225,-445.84073310534677,-310.1398115496862,-295.73950239553443,-291.0128969932805,-268.20807290278526,-239.91257173392177,-225.4529573052003
co2_storage_shadow,57.018969742129705,298.9160880052886,190.43644879244948,182.18482023361202,182.07355404048272,156.11977444776676,135.30421850082217,134.33664998265527
line_volume,309140744.732617,490782826.33958316,490782828.03866875,490782832.9614022,490791618.2016242,490791626.33984566,490791628.2504426,490875981.48077244
line_volume_AC,189425690.50551602,204232683.91614816,204232684.36604944,204232686.2935467,204241467.13948756,204241470.00314546,204241470.9446159,204325816.7598248
line_volume_DC,119715054.22710101,286550142.423435,286550143.67261934,286550146.6678555,286550151.06213665,286550156.3367002,286550157.3058267,286550164.7209476
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,713814619180.6412,839372019098.8165,761899444658.8318,721458233213.8667,651102800970.3385,635038742260.4694,621408195470.6704,603389308425.8481
