cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105593839139.4998,105593839139.4998,105593839139.4998
39,vopt,,,2040,65868387279.05908,54035019519.89442,40437475939.96991
39,vopt,,,2050,58238573062.83601,39192890152.40775,21949505684.913715
39,vopt,,,2060,54774331191.62123,30239313714.238434,12673545002.948296
39,vopt,,,2070,56221791403.897705,25462310451.368965,7986062720.110535
39,vopt,,,2080,51556834815.313034,19154801648.102844,4495948146.794678
39,vopt,,,2090,50415761778.41298,15365830140.085257,2699034211.88582
39,vopt,,,2100,50224899110.283875,12557611694.052116,1650699950.004348
39,vopt,,AL0 0,2030,710736182.7518418,710736182.7518418,710736182.7518418
39,vopt,,AL0 0,2040,1150222413.3292105,943583001.2529159,706136784.0624394
39,vopt,,AL0 0,2050,1635108644.8430233,1100381244.4965186,616255251.5960596
39,vopt,,AL0 0,2060,1632198131.8082829,901089073.6187496,377653839.43865806
39,vopt,,AL0 0,2070,2001584758.2108667,906498552.1745597,284316472.66189885
39,vopt,,AL0 0,2080,1993730964.5950508,740726642.8069433,173860770.69292757
39,vopt,,AL0 0,2090,2017456362.7761235,614884922.7291784,108005583.01691686
39,vopt,,AL0 0,2100,2747691637.534938,686998784.4752672,90306093.77127829
39,vopt,,AT0 0,2030,8369125092.783569,8369125092.783569,8369125092.783569
39,vopt,,AT0 0,2040,10343964774.040867,8485653916.352919,6350297068.942432
39,vopt,,AT0 0,2050,10484919468.751095,7056050232.41605,3951655876.5426545
39,vopt,,AT0 0,2060,10217984596.11597,5641051839.560787,2364211206.2541695
39,vopt,,AT0 0,2070,10666781395.549398,4830883054.920519,1515170241.278722
39,vopt,,AT0 0,2080,10714716825.795511,3980816049.877926,934363240.6630429
39,vopt,,AT0 0,2090,10870271305.965767,3313065925.6572404,581945667.6313642
39,vopt,,AT0 0,2100,10949251332.641508,2737615187.1202354,359859928.99039245
39,vopt,,BA0 0,2030,1149053047.5459242,1149053047.5459242,1149053047.5459242
39,vopt,,BA0 0,2040,1386517037.3139389,1137426894.3084269,851201185.4670943
39,vopt,,BA0 0,2050,1246188904.373367,838649408.2806144,469675491.7313493
